Source,Target,Weight
M. Monticelli,M. Pasini,52
M. Monticelli,M. Pilato,18
M. Monticelli,S. Dionigi,2
M. Monticelli,F. Serafini,2
M. Monticelli,G. Novi,3
F. Di Gesù,A. Canini,3
F. Di Gesù,S. Cristicchi,3
F. Di Gesù,C. Galbignani,2
F. Di Gesù,L. Beccafichi,2
F. Di Gesù,E. Marcelli,2
Boss Doms,Achille Lauro,16
Boss Doms,D. Mungai,3
Boss Doms,D. Petrella,3
Boss Doms,D. Dezi,3
M. De Paolis,U. Bertini,16
C. Chiodo,A. Fresa,18
C. Chiodo,Pacifico,3
C. Chiodo,Bungaro,2
M. Di Franco,A. Zuppini,2
M. Di Franco,S. Moschetto,2
Don Backy,D. Mariano,2
Don Backy,A. Caponi,2
B. D'Onghia,S. Bersani,2
B. D'Onghia,L. Dalla,2
A. Canini,S. Cristicchi,7
A. Canini,E. Marcelli,7
R. Sanna,D.L. Pieretti,7
E. Capotosti,P. Limiti,3
E. Capotosti,B. Moglia,9
E. Capotosti,M. C. Lacamera,9
E. Capotosti,G. Puzzo,3
E. Capotosti,A. De Simone,3
E. Capotosti,V. Mascheroni,9
E. Caterini,S. Borzi,4
E. Caterini,S. Nasuti,4
F. Neviani,M. Varini,4
F. Neviani,D. Miglietta,4
F. Neviani,G. Isgrò,4
F. Neviani,A. De Sanctis,4
S. Melloni,M. Natale,9
S. Melloni,F. Salvi,24
F. Monti Arduini,Lubiak,3
C. Consoli,M. Venuti,3
C. Consoli,P. Turci,3
S. Sichel,M. Z. Granieri,9
S. Sichel,R. Siani,2
M. Grilli,F. Fugazza,7
M. Grilli,A. Mahmoud,7
D. Fossati,C. De Andrè,6
A. Di Martino,A. Filippelli,6
G. Zagni,R. Cellamare,6
G. Zagni,F. Coppini,6
E. Giudizi,M. Minoia,6
E. Giudizi,V. Centrone,6
A. Anastasio,G. Trovato,9
A. Anastasio,C. Valli,9
Achille Lauro,D. Mungai,5
Achille Lauro,D. Petrella,5
Achille Lauro,D. Dezi,4
M. Calabrese,P. Magoni,3
M. Calabrese,M. Rinalduzzi,19
M. Calabrese,M. D'Angelo,5
M. Calabrese,G. Todrani,3
M. Calabrese,M. Zenima Granieri,5
M. Calabrese,M. Mengoni,4
M. Calabrese,S. Fabiani,2
M. Calabrese,P. Calabrese,2
P. Limiti,B. Moglia,5
P. Limiti,M. C. Lacamera,9
P. Limiti,G. Puzzo,4
A. Paoletti,V. Incenzo,4
A. Paoletti,R. Zero,7
A. Paoletti,F. Berlincioni,5
A. Paoletti,A. Carrisi,5
A. Paoletti,Y. Carrisi,5
G. Caccamo,A. Flora,3
G. Caccamo,M. Ayane,5
G. Caccamo,Pacifico,5
G. Caccamo,Cheope,4
L. Fragola,A. Filippelli,9
L. Fragola,R. Canale,9
L. Fragola,F. Ferraguzzo,9
L. Fragola,Fedez,15
L. Fragola,F. Cogliati,5
L. Fragola,R. Di Benedetto,7
S. Boswell,M. Capuano,2
S. Boswell,G. Capuano,5
G. Andreetto,Depsa,7
E. Croce,R. Eleuteri,7
A. Piccareta,G. Arena,6
E. Mangia,R. Cardelli,16
E. Mangia,F. Ferraguzzo,7
E. Mangia,M. Del Forno,3
E. Mangia,F. Caprara,3
B. Moglia,M. C. Lacamera,4
B. Moglia,G. Puzzo,4
P. P. Peroni,M. Guarniero,4
P. P. Peroni,M. Pezzali,3
C. Lessona,Kynsha,3
C. Lessona,M. Violante,6
C. Lessona,P. Martella,6
S. Jurgens,G. Galgani,9
S. Jurgens,T. Montelpare,9
P. Renga,U. Iervolino,24
L. Patruno,L. Rana,6
L. Patruno,C. Noto,6
L. Patruno,A. Leone,7
L. Patruno,G. Giorgilli,37
Dardust,Mahmood,3
Dardust,Charlie Charles,2
A. Napoletano,L. Quarantotto,3
M. Curallo,M. E. Giovanardi,10
F. Muggeo,A. Santonocito,7
F. Muggeo,L. Nigro,10
M. Repetto,M. Pezzali,9
G. Golzi,C. Marrale,9
G. Golzi,A. Ruggiero,23
G. Golzi,P. Cassano,15
G. Golzi,A. Stellita,9
F. Fugazza,A. Mahmoud,10
C. Iezzi,P. Iezzi,10
M. Di Cataldo,V. Incenzo,10
M. Di Cataldo,Laurex,6
M. Di Cataldo,B. Laurenti,9
R. Cozzoli,G. Compare,10
R. Cozzoli,A. Testa,9
R. Gigli,J. Fontana,3
R. Gigli,M. Cantini,9
R. Gigli,L. Greco,9
R. Gigli,F. Migliacci,6
I. Fossati,G. Guglielminetti,10
I. Fossati,O. Prudente,3
M. Morandi,F. Godi,9
B. Rifo,R. Gualazzi,30
L. Capello,A. Genovese,9
F. Rendine,G. C. Testoni,10
F. Rendine,A. Pugliese,4
F. Sartori,L. Quarantotto,4
C. Canzian,Pellecalamaio,4
F. Moro,A. Febo,17
F. Moro,E. Meta,9
E. Bassi,M. Bassi,9
E. Suligoj,D. Modugno,17
E. Suligoj,L. Beretta,5
D. Valentini,E. Di Lazzaro,5
P. Panella,A. Martelli,1
